Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2017-11-30,48,192,18114,11,33,22
2017-12-1,48,205,18122,8,21,13
2017-12-2,48,161,18185,63,19,-44
2017-12-3,48,171,18186,1,11,10
2017-12-4,49,186,18186,0,15,15
2017-12-5,49,193,18205,19,26,7
2017-12-6,49,212,18210,5,24,19
2017-12-7,49,183,18263,53,24,-29
2017-12-8,49,197,18265,2,16,14
2017-12-9,49,206,18271,6,15,9
2017-12-10,49,219,18272,1,14,13
2017-12-11,50,231,18276,4,16,12
2017-12-12,50,153,18373,97,19,-78
2017-12-13,50,169,18381,8,24,16
2017-12-14,50,141,18434,53,25,-28
2017-12-15,50,153,18451,17,29,12
2017-12-16,50,171,18456,5,23,18
2017-12-17,50,179,18456,0,8,8
2017-12-18,51,187,18457,1,9,8
2017-12-19,51,201,18465,8,22,14
2017-12-20,51,208,18502,37,44,7
2017-12-21,51,247,18530,28,67,39
2017-12-22,51,287,18546,16,56,40
2017-12-23,51,259,18584,38,10,-28
2017-12-24,51,268,18588,4,13,9
2017-12-25,52,271,18590,2,5,3
2017-12-26,52,281,18591,1,11,10
2017-12-27,52,293,18591,0,12,12
2017-12-28,52,254,18639,48,9,-39
2017-12-29,52,178,18731,92,16,-76
2017-12-30,52,192,18749,18,32,14
2017-12-31,52,199,18750,1,8,7
2018-1-1,53,208,18750,0,9,9
2018-1-2,53,212,18751,1,5,4
2018-1-3,53,92,18890,139,19,-120
2018-1-4,53,43,18962,72,23,-49
2018-1-5,53,40,18985,23,20,-3
2018-1-6,53,37,19012,27,24,-3
2018-1-7,53,43,19016,4,10,6
2018-1-8,54,44,19026,10,11,1
2018-1-9,54,48,19050,24,28,4
2018-1-10,54,53,19065,15,20,5
2018-1-11,54,50,19092,27,24,-3
2018-1-12,54,52,19101,9,11,2
2018-1-13,54,63,19121,20,31,11
2018-1-14,54,76,19123,2,15,13
2018-1-15,55,93,19124,1,18,17
2018-1-16,55,120,19126,2,29,27
2018-1-17,55,148,19135,9,37,28
2018-1-18,55,83,19225,90,25,-65
2018-1-19,55,80,19253,28,25,-3
2018-1-20,55,91,19265,12,23,11
2018-1-21,55,103,19270,5,17,12
2018-1-22,56,113,19271,1,11,10
2018-1-23,56,122,19282,11,20,9
2018-1-24,56,83,19346,64,25,-39
2018-1-25,56,72,19382,36,25,-11
2018-1-26,56,71,19406,24,23,-1
2018-1-27,56,66,19427,21,16,-5
2018-1-28,56,72,19433,6,12,6
2018-1-29,57,77,19433,0,5,5
2018-1-30,57,71,19464,31,25,-6
2018-1-31,57,71,19486,22,22,0
2018-2-1,57,73,19511,25,27,2
2018-2-2,57,72,19535,24,23,-1
2018-2-3,57,78,19550,15,21,6
2018-2-4,57,90,19550,0,12,12
2018-2-5,58,101,19550,0,11,11
2018-2-6,58,124,19556,6,29,23
2018-2-7,58,135,19564,8,19,11
2018-2-8,58,139,19585,21,25,4
